customerNumber,customerName,contactFirstName,contactLastName,phone,addressLine1,city,state,country,creditLimit,customerSegment
1,"Rodriguez, Figueroa and Sanchez",Donald,Garcia,001-581-896-0013x3890,9402 Peterson Drives,Port Matthew,CO,Hong Kong,65745.55,Enterprise
2,Howard LLC,Cassandra,Roman,001-278-516-1849x5931,31647 Martin Knoll Apt. 419,New Jessica,GA,Kyrgyz Republic,75447.3,SMB
3,Nelson-Schaefer,Hailey,Robinson,903-405-6413x95376,38849 Hurst Locks Suite 328,Daviston,VI,Bouvet Island (Bouvetoya),26205.02,Enterprise
4,Burton Ltd,Robert,Brown,(897)484-8018x4514,48281 Skinner Parkways Apt. 252,New Mariotown,DE,Vanuatu,69286.45,Enterprise
5,Koch-Decker,Kyle,Brown,001-411-671-8227,83465 Lam Mission Apt. 331,Andrewside,IN,Namibia,61096.79,Enterprise
6,Smith Ltd,Crystal,Perez,4519834738,6311 Gomez Loop,Shieldston,TX,Palau,7830.74,SMB
7,"Garcia, Powell and Morgan",Michelle,Wright,387.926.2473,80132 Tucker Forest,Barreraburgh,MS,Afghanistan,27102.78,Enterprise
8,Baker-Bowers,Spencer,Henderson,001-287-923-4309x8050,81219 Emma Freeway,Wilsonshire,IA,Mozambique,58318.28,Individual
9,"Williams, Miller and Sandoval",Annette,Stewart,935-334-6247x510,384 Sarah Cliff,West Justin,NV,Syrian Arab Republic,25941.86,Startup
10,"Warner, Carr and Archer",Destiny,Smith,+1-641-624-1182,534 King Vista,North Cynthiaview,AZ,Afghanistan,81895.89,Enterprise
11,Wise-Walsh,Jose,Figueroa,+1-768-401-1280,04505 Evelyn Shores Apt. 586,East Michelle,AS,Sudan,77086.7,SMB
12,Keith Inc,Harry,Middleton,(534)221-6073x37543,5414 May Locks,Sheilaville,FM,Eritrea,71323.24,Startup
13,Carpenter LLC,Benjamin,Carlson,(256)598-1693x406,1595 Jennifer Hills Suite 656,Angelaborough,MT,Papua New Guinea,31397.78,SMB
14,Byrd-Orr,Christina,Turner,+1-904-943-6995,387 Donna Haven Suite 134,Port James,AK,Aruba,95935.24,Startup
15,Riggs PLC,Melissa,Jones,(993)267-6320x16328,72788 Dodson Mills,Rivasside,NV,Ukraine,14709.98,Individual
16,Manning Group,Shannon,Walton,+1-348-473-4714x3455,62316 Rivera Mountain,Brownchester,MS,United Kingdom,14188.06,Startup
17,"Shah, Smith and Gilmore",Barbara,Woods,(946)268-8937x346,6272 Rebecca Ramp Apt. 162,Whiteview,MS,Greece,62353.97,Enterprise
18,Gibson LLC,Kathleen,Gray,001-564-217-0805x31003,27193 Lyons Trafficway,Garyville,WI,Svalbard & Jan Mayen Islands,74324.52,Enterprise
19,Oconnell Inc,Beth,Hickman,001-366-231-9314,651 Smith Manor Suite 165,Zimmermanchester,HI,Saint Martin,97446.0,Individual
20,"Sheppard, Nelson and Morton",Amanda,Webb,(294)953-1473x79965,73545 Beard Squares Suite 808,North John,MT,Liechtenstein,12486.02,Startup
21,"Chang, Vaughn and Brewer",Travis,Mcguire,743-863-4957,7444 David Fields Suite 182,East Joanna,KY,Saint Kitts and Nevis,83793.44,Startup
22,"Bray, Warren and Campbell",Craig,Lee,252.640.8240,710 Harrison Mill,Jackton,KS,Wallis and Futuna,59848.45,Enterprise
23,Wilson-Jones,Travis,Ray,+1-502-829-4131x86999,4964 Chelsea Streets Apt. 334,East Johnside,CA,Cayman Islands,9353.32,SMB
24,Ortiz Ltd,Brittney,Carter,844.371.3493,242 Brian Turnpike,Brookeshire,PW,France,78441.49,Enterprise
25,Martinez-Barker,Holly,Bender,287.671.9065x94013,78742 Walters Overpass,South Michaelmouth,MD,Paraguay,86255.18,Enterprise
26,Hodge LLC,Robert,Simpson,+1-968-807-1545x16808,85977 James Plaza,West Samuel,UT,Libyan Arab Jamahiriya,41111.99,Individual
27,Johnson Ltd,Chelsea,Allen,(948)308-6131,4846 Baird Gardens,Arnoldfurt,ID,Uruguay,65390.02,Startup
28,"Romero, Suarez and Shields",Joshua,Tyler,(758)740-4499x72787,5339 Hall Trail Suite 057,Hughesberg,NM,Argentina,20452.14,Startup
29,Shaw PLC,Martin,Garcia,818.370.2621x745,865 Brennan Camp Apt. 343,South Tiffanyville,NV,Chad,24903.17,Startup
30,"Evans, Johnson and Nguyen",Brian,Howard,(923)486-9222x19693,4740 Santana Springs,North Scott,MI,Namibia,71672.93,Enterprise
31,Fowler-Coleman,John,Bruce,667.613.6959,640 Renee Summit,Wallport,WI,South Georgia and the South Sandwich Islands,62867.45,SMB
32,Lawson LLC,Jeffery,Lee,721-804-7095x214,28588 Rivas Glens,Coffeyport,WA,Trinidad and Tobago,55743.29,SMB
33,Brock-Mcdonald,Charles,Webster,368.951.6048,496 Rodriguez Fort Suite 098,Rosebury,SD,Bahrain,20523.24,Individual
34,"Colon, Blankenship and Turner",Ricky,Taylor,9477113826,261 Gilbert Harbors Apt. 537,Sampsonstad,CT,Poland,30645.04,SMB
35,Stephens-Levine,Michael,Sanders,517.413.9005,83933 Schroeder Turnpike,West Micheleberg,DC,Mauritius,70038.35,Enterprise
36,Lindsey-Rodriguez,Michelle,Anderson,(339)950-2402x681,8917 Sonia Cape Suite 700,Boonechester,TX,Botswana,26759.57,Enterprise
37,Joseph-Wallace,Rachel,Morris,(612)949-9856,18367 Robert Views Suite 661,Ronaldview,MN,Zimbabwe,81479.35,Individual
38,Mcdaniel Group,Carlos,Decker,761-352-8098,6049 Bell Ports Apt. 273,West Meganstad,DE,Serbia,30435.38,SMB
39,Andrews-Aguirre,Megan,Villegas,+1-298-409-4024x455,612 Christopher Pines,South Robert,MA,Cayman Islands,91747.93,Startup
40,Collins-Nguyen,Shelly,Carlson,9229901476,3815 Rodriguez Springs Suite 840,South Tracey,AR,Albania,25199.52,Individual
41,Turner and Sons,Katrina,Duran,751-307-6226x8388,060 Morse Wall Suite 969,Mckinneychester,LA,Brazil,42585.03,Individual
42,Smith-Nguyen,Laurie,Montgomery,001-651-761-3696x816,2181 Rebecca Keys,Jessicaberg,IA,Bosnia and Herzegovina,18572.8,SMB
43,Scott and Sons,Carrie,Wolf,+1-912-377-9979x9552,4490 Romero Inlet Suite 700,Marieland,SD,Tonga,28429.61,Startup
44,Gilbert PLC,Patrick,Carpenter,001-707-393-5978x2071,37788 Michael Haven,Ortizmouth,TX,Netherlands Antilles,75966.31,Individual
45,Mccormick Ltd,Matthew,Rivera,+1-464-749-2519,629 Kyle Lane Suite 281,Romerotown,MN,Georgia,90293.17,Individual
46,Bean LLC,Stacey,Tucker,222.714.1888,622 Marie Trail,Lake Samuel,MT,Haiti,39389.66,SMB
47,"Ball, Montes and Bishop",Karen,Bowers,983.647.3597,862 Laurie Dam Suite 075,Lake Meghanville,LA,Belize,53405.0,Enterprise
48,Nelson PLC,Dylan,Kim,575.806.0685,3051 Moody Dam,West Samanthafort,UT,Switzerland,76799.3,Enterprise
49,Blake Group,Shane,Smith,304-632-8986,1036 Brown Villages,Carlsontown,SC,Malaysia,19519.93,SMB
50,"Allen, Thomas and Patterson",Christina,Allen,(221)885-1888x88067,0515 Jessica Road Apt. 952,West Amyburgh,MP,Slovakia (Slovak Republic),80247.54,Individual
51,"Marshall, Dominguez and Welch",Lisa,Brown,001-670-243-0305x48687,5054 Lauren Mews,Paulfurt,MA,Colombia,61658.86,Individual
52,Holt-Richardson,Laura,Adams,361-369-2845,447 Jackson Mills Suite 705,Hillton,CA,Paraguay,41253.83,Individual
53,"Sullivan, Palmer and Brady",Ernest,Johnson,+1-470-921-3556x909,7192 Sanders Run Suite 310,South April,PW,Monaco,55265.86,Enterprise
54,Green LLC,Jane,Lewis,+1-747-331-2172x715,2258 David Flats Apt. 370,Angelastad,NH,Spain,69626.92,Enterprise
55,"Anderson, Henson and Jones",Raymond,Love,486.469.1251x7785,8018 Kevin Estates,Sarahbury,MI,Yemen,69762.49,Startup
56,"Jacobson, Singleton and King",Cynthia,Pierce,(449)481-8299,001 Stacy Trail Suite 396,South Pamelaside,LA,Norway,78016.88,Startup
57,Webb-Ballard,Gail,Evans,402-776-7735,562 Robertson Coves Suite 371,Shannonberg,CT,Australia,15597.46,Individual
58,Dougherty-Lin,Robert,Estes,(959)653-2787,16873 Brandy Causeway Apt. 479,Mitchelltown,PR,Botswana,20024.99,Enterprise
59,Anderson-Baker,Michael,Powell,3608983584,499 David Court Suite 558,Kariborough,PA,Malawi,95612.51,Startup
60,Porter-Williams,Derrick,Cook,687.729.8259x5269,947 Micheal Spring Apt. 694,New Thomasshire,OK,Denmark,97329.37,SMB
61,"Williams, Castillo and Warren",Jennifer,Hampton,(523)809-1307x5626,028 Ann Shore Suite 865,South Rhonda,MA,Mayotte,53229.76,Enterprise
62,Lowe-Dillon,Erin,Lara,997-733-4843x443,8441 Huang Locks Suite 240,Stephanieland,MI,Uzbekistan,87699.26,Startup
63,Douglas-Burgess,Jason,Clayton,584-221-9933x083,5712 Tamara Estate,Delgadofort,NJ,Pakistan,84958.59,SMB
64,Avila LLC,Manuel,Brewer,001-219-238-0262x06724,915 Gibson Row Suite 287,Jamesville,MA,Central African Republic,19519.73,SMB
65,"Stevens, Scott and Lopez",Jill,Gibbs,001-832-396-6851,75304 Young Terrace,Stephanieport,OR,Saint Kitts and Nevis,56241.01,Enterprise
66,"Smith, Valdez and Schwartz",Bryan,Wilson,426-984-1459x3327,8783 Erin Ranch Apt. 878,Christianshire,DE,Bahamas,61899.74,Individual
67,"Leach, Harris and Herrera",Franklin,Bond,813.997.1870x728,740 Scott Alley,New Charles,NE,Guatemala,6850.29,Startup
68,"Brown, Mcknight and Michael",Cesar,Peck,8468226567,825 Gregory Plain,Ricebury,MP,Afghanistan,88478.58,Startup
