orderNumber,orderDate,requiredDate,status,customerNumber,totalAmount,paymentMethod
1,2024-07-10,2024-07-13,Delivered,719,4482.73,Credit Card
2,2023-04-22,2023-04-28,Delivered,171,3252.65,Credit Card
3,2024-07-30,2024-08-12,Cancelled,991,3775.78,Debit Card
4,2023-04-19,2023-04-22,Shipped,265,1148.91,PayPal
5,2024-04-01,2024-04-09,Cancelled,475,3873.09,PayPal
6,2023-12-20,2023-12-23,Cancelled,108,1512.39,Credit Card
7,2023-04-29,2023-05-13,Processing,357,1593.86,Debit Card
8,2023-07-31,2023-08-11,Cancelled,357,2407.0,Debit Card
9,2024-12-14,2024-12-24,Delivered,69,1536.31,Credit Card
10,2023-01-24,2023-02-01,Shipped,694,4010.25,PayPal
11,2024-06-12,2024-06-17,Pending,164,1688.4,Debit Card
12,2024-04-18,2024-04-24,Cancelled,645,963.04,Debit Card
13,2024-02-10,2024-02-13,Pending,905,1026.76,Debit Card
14,2024-02-03,2024-02-06,Processing,211,1427.81,Credit Card
15,2024-08-14,2024-08-18,Pending,192,1860.68,PayPal
16,2024-04-13,2024-04-17,Delivered,687,4320.05,Bank Transfer
17,2024-09-03,2024-09-12,Pending,402,2955.67,Bank Transfer
18,2023-12-27,2024-01-06,Pending,177,4078.0,Bank Transfer
19,2024-09-21,2024-10-03,Shipped,689,713.04,Credit Card
20,2023-09-02,2023-09-09,Shipped,188,1897.87,PayPal
21,2024-06-07,2024-06-16,Cancelled,611,732.44,Debit Card
22,2024-03-09,2024-03-14,Cancelled,651,2710.03,PayPal
23,2024-07-22,2024-07-27,Cancelled,296,744.47,Bank Transfer
24,2024-04-06,2024-04-18,Shipped,887,1827.24,Credit Card
25,2024-05-11,2024-05-16,Processing,835,1950.52,Debit Card
26,2024-02-23,2024-03-07,Cancelled,426,3565.2,Debit Card
27,2024-05-15,2024-05-20,Shipped,579,202.76,PayPal
28,2023-10-27,2023-10-30,Delivered,231,2711.16,PayPal
29,2024-04-13,2024-04-25,Cancelled,563,2578.49,Credit Card
30,2023-10-02,2023-10-13,Delivered,556,4121.92,Credit Card
31,2024-03-27,2024-04-07,Processing,436,556.96,PayPal
32,2023-11-01,2023-11-04,Cancelled,270,1775.46,Credit Card
33,2024-03-25,2024-03-29,Processing,215,4062.98,Bank Transfer
34,2024-12-28,2025-01-09,Cancelled,170,3099.95,PayPal
35,2023-07-31,2023-08-03,Pending,360,2684.79,PayPal
36,2023-11-28,2023-12-12,Delivered,297,2885.04,Credit Card
37,2023-05-19,2023-05-28,Shipped,284,4341.89,PayPal
38,2024-12-19,2024-12-24,Processing,150,3571.4,PayPal
39,2024-11-23,2024-12-02,Cancelled,146,2908.26,Bank Transfer
40,2024-10-04,2024-10-13,Cancelled,463,423.81,Credit Card
41,2024-02-17,2024-02-28,Delivered,712,4684.86,Bank Transfer
42,2024-04-10,2024-04-20,Delivered,596,62.24,Credit Card
43,2024-04-14,2024-04-27,Delivered,871,363.49,Debit Card
44,2023-08-12,2023-08-21,Processing,507,1379.26,Bank Transfer
45,2023-12-12,2023-12-23,Pending,134,2852.4,Debit Card
46,2023-12-18,2023-12-31,Shipped,48,542.89,Debit Card
47,2023-01-17,2023-01-21,Processing,452,2309.76,Debit Card
48,2023-07-27,2023-08-10,Processing,904,3267.49,PayPal
49,2023-10-08,2023-10-12,Delivered,257,457.98,PayPal
50,2023-02-23,2023-03-04,Delivered,744,3512.23,PayPal
51,2024-03-15,2024-03-28,Shipped,721,521.16,PayPal
52,2024-05-03,2024-05-07,Processing,608,1169.64,Debit Card
53,2023-01-10,2023-01-13,Delivered,837,646.94,Debit Card
54,2024-12-11,2024-12-16,Cancelled,73,1183.29,Credit Card
55,2023-04-15,2023-04-19,Delivered,377,4410.9,PayPal
56,2024-01-27,2024-02-01,Processing,71,2676.02,Credit Card
57,2024-09-16,2024-09-29,Processing,451,1788.38,PayPal
58,2024-10-05,2024-10-19,Processing,942,2087.96,Debit Card
59,2023-08-11,2023-08-15,Shipped,144,3774.61,Debit Card
60,2023-12-26,2024-01-04,Delivered,811,742.16,Bank Transfer
61,2024-10-22,2024-10-26,Processing,567,3024.95,Bank Transfer
62,2024-12-08,2024-12-11,Delivered,211,2612.86,PayPal
63,2024-02-06,2024-02-13,Shipped,803,4494.67,PayPal
64,2024-05-21,2024-05-30,Shipped,247,2522.93,Credit Card
65,2024-06-24,2024-06-27,Delivered,957,1616.54,Debit Card
66,2024-08-05,2024-08-14,Delivered,560,3430.56,Debit Card
67,2023-03-16,2023-03-19,Pending,70,118.28,PayPal
68,2023-02-10,2023-02-13,Cancelled,519,1468.11,Debit Card
69,2024-03-09,2024-03-23,Cancelled,85,3220.66,PayPal
70,2023-10-12,2023-10-16,Delivered,81,2580.96,PayPal
71,2023-06-09,2023-06-20,Delivered,401,2952.86,Credit Card
72,2023-11-14,2023-11-28,Cancelled,748,4769.47,PayPal
73,2023-03-01,2023-03-07,Shipped,947,2200.69,Debit Card
74,2024-09-18,2024-09-30,Shipped,317,3347.09,PayPal
75,2023-05-03,2023-05-06,Processing,719,106.19,Debit Card
76,2023-12-22,2024-01-02,Pending,802,4121.41,Bank Transfer
77,2023-06-20,2023-06-28,Processing,768,3916.56,Bank Transfer
78,2023-05-01,2023-05-04,Delivered,827,2175.16,Credit Card
79,2023-09-27,2023-10-11,Pending,643,431.5,Debit Card
80,2024-06-07,2024-06-15,Shipped,512,4303.83,PayPal
81,2024-01-12,2024-01-17,Delivered,792,559.38,Credit Card
82,2023-08-22,2023-09-05,Pending,3,267.99,Credit Card
83,2023-09-08,2023-09-11,Cancelled,373,1945.75,PayPal
84,2023-07-03,2023-07-06,Pending,823,4574.04,Debit Card
85,2023-08-18,2023-08-26,Processing,427,4583.48,Bank Transfer
86,2023-10-05,2023-10-09,Pending,382,641.03,Credit Card
87,2023-07-03,2023-07-09,Pending,48,4772.69,Credit Card
88,2024-04-21,2024-04-28,Delivered,336,477.61,Debit Card
89,2023-01-09,2023-01-17,Processing,299,2840.84,Bank Transfer
90,2024-09-29,2024-10-05,Cancelled,378,2978.87,Debit Card
91,2023-07-20,2023-08-03,Pending,779,3990.07,PayPal
92,2023-01-07,2023-01-16,Shipped,239,2730.65,Credit Card
93,2023-12-10,2023-12-13,Cancelled,870,3703.51,Bank Transfer
94,2023-04-17,2023-04-23,Pending,244,2128.09,Credit Card
95,2023-05-26,2023-06-09,Delivered,96,267.31,PayPal
96,2024-06-16,2024-06-25,Delivered,470,4874.05,Credit Card
97,2024-08-17,2024-08-21,Pending,137,3204.22,Debit Card
98,2023-03-18,2023-03-30,Pending,64,2203.17,PayPal
99,2023-08-31,2023-09-07,Delivered,872,1609.29,Debit Card
100,2024-12-18,2025-01-01,Delivered,326,2291.15,PayPal
101,2023-03-18,2023-03-24,Processing,799,3862.23,Credit Card
102,2023-06-09,2023-06-13,Processing,461,2356.97,Debit Card
103,2023-05-04,2023-05-15,Delivered,988,3863.17,Debit Card
104,2023-11-12,2023-11-22,Delivered,873,643.57,PayPal
105,2024-12-03,2024-12-10,Pending,42,1114.35,Bank Transfer
106,2023-06-01,2023-06-05,Processing,992,1810.93,Credit Card
107,2024-11-24,2024-12-01,Delivered,840,4953.85,Credit Card
108,2024-02-19,2024-02-29,Pending,767,2773.1,Credit Card
109,2024-04-18,2024-04-22,Processing,125,109.19,PayPal
110,2023-05-14,2023-05-20,Cancelled,382,3447.11,Credit Card
111,2024-08-19,2024-08-31,Delivered,940,4073.1,Credit Card
