productCode,productName,productCategory,quantityInStock,buyPrice,MSRP
PROD0001,Secured bifurcated middleware,Books,326,124.74,298.29
PROD0002,Virtual mission-critical frame,Home & Garden,242,292.96,645.77
PROD0003,Automated fresh-thinking algorithm,Toys,533,157.86,218.83
PROD0004,Customizable disintermediate success,Electronics,570,118.31,188.19
PROD0005,Expanded zero tolerance complexity,Clothing,641,474.77,1112.68
PROD0006,Ameliorated well-modulated encryption,Electronics,995,342.59,658.67
PROD0007,Future-proofed empowering parallelism,Sports,804,178.76,364.01
PROD0008,Multi-layered intermediate algorithm,Sports,152,266.99,562.07
PROD0009,Proactive asynchronous extranet,Books,484,156.95,225.86
PROD0010,Programmable methodical throughput,Toys,147,128.07,191.2
PROD0011,Object-based grid-enabled approach,Books,422,404.83,967.21
PROD0012,Universal modular knowledgebase,Clothing,397,484.22,931.87
PROD0013,Monitored web-enabled strategy,Toys,80,129.0,188.9
PROD0014,Distributed heuristic strategy,Electronics,548,461.89,1062.94
PROD0015,Streamlined logistical collaboration,Home & Garden,386,365.05,528.46
PROD0016,Face-to-face asynchronous implementation,Electronics,192,340.1,674.69
PROD0017,Versatile value-added database,Toys,572,404.28,793.95
PROD0018,Decentralized hybrid algorithm,Home & Garden,310,116.34,171.2
PROD0019,Exclusive stable methodology,Clothing,985,478.94,584.28
PROD0020,Stand-alone motivating superstructure,Sports,936,373.32,810.46
PROD0021,Compatible background projection,Clothing,406,128.87,255.9
PROD0022,Synchronized value-added throughput,Home & Garden,389,458.41,879.09
PROD0023,Centralized foreground throughput,Home & Garden,267,238.46,487.25
PROD0024,Team-oriented web-enabled intranet,Sports,100,186.23,437.2
PROD0025,Assimilated content-based task-force,Home & Garden,936,403.38,862.89
PROD0026,Re-engineered reciprocal implementation,Electronics,576,109.53,175.99
PROD0027,Visionary demand-driven approach,Electronics,267,433.4,937.72
PROD0028,Optimized impactful Local Area Network,Toys,427,281.12,550.78
PROD0029,Ameliorated 24/7 hardware,Clothing,388,154.64,225.01
PROD0030,Right-sized real-time focus group,Books,670,289.2,439.42
PROD0031,Open-architected radical infrastructure,Sports,989,472.3,774.02
PROD0032,Object-based systemic portal,Sports,172,364.54,787.94
PROD0033,Fully-configurable transitional challenge,Clothing,737,369.06,611.84
PROD0034,Visionary dynamic data-warehouse,Books,657,277.81,399.84
PROD0035,Team-oriented maximized approach,Electronics,967,479.05,901.15
PROD0036,Assimilated modular benchmark,Electronics,422,410.82,518.89
PROD0037,User-friendly systemic functionalities,Electronics,724,77.37,156.28
PROD0038,Programmable 24/7 toolset,Sports,382,84.0,124.68
PROD0039,Assimilated optimal methodology,Books,934,39.62,80.39
PROD0040,Cloned even-keeled projection,Electronics,544,246.77,452.63
PROD0041,Business-focused next generation instruction set,Books,739,280.31,340.69
PROD0042,Exclusive dynamic contingency,Electronics,514,144.62,357.32
PROD0043,Extended exuding data-warehouse,Clothing,109,408.45,848.04
PROD0044,Assimilated web-enabled initiative,Clothing,196,459.84,865.28
PROD0045,Mandatory national time-frame,Home & Garden,273,313.69,479.36
PROD0046,Pre-emptive explicit forecast,Sports,470,399.52,520.46
PROD0047,Total needs-based solution,Clothing,307,286.85,713.48
PROD0048,Progressive neutral core,Toys,878,345.18,794.68
PROD0049,Secured solution-oriented concept,Sports,388,328.45,407.67
PROD0050,Fully-configurable maximized groupware,Toys,9,194.81,354.32
PROD0051,Right-sized upward-trending ability,Sports,660,354.39,463.36
PROD0052,Re-engineered modular contingency,Electronics,916,394.34,763.29
PROD0053,Digitized multi-tasking Graphic Interface,Clothing,922,268.8,337.43
PROD0054,Quality-focused system-worthy circuit,Sports,277,435.38,1024.81
PROD0055,Synergized holistic neural-net,Home & Garden,920,32.82,42.56
PROD0056,Mandatory value-added focus group,Clothing,951,276.09,567.51
PROD0057,Multi-channeled foreground budgetary management,Clothing,601,426.71,520.74
PROD0058,Extended regional throughput,Sports,951,80.65,182.83
